i,j,distance,truck_time,drone_time,robot_distance,robot_time
0,1,7.0,0.15555555555555556,0.09333333333333334,7.0,0.28
0,2,6.0,0.13333333333333333,0.08,6.0,0.24
0,3,9.0,0.2,0.12,9.0,0.36
0,4,24.0,0.5333333333333333,0.32,24.0,0.96
0,5,18.0,0.4,0.24,18.0,0.72
0,6,27.0,0.6,0.36,27.0,1.08
0,7,0.0,0.0,0.0,0.0,0.0
1,2,2.0,0.044444444444444446,0.02666666666666667,2.0,0.08
1,3,2.0,0.044444444444444446,0.02666666666666667,2.0,0.08
1,4,2.0,0.044444444444444446,0.02666666666666667,2.0,0.08
1,5,2.0,0.044444444444444446,0.02666666666666667,2.0,0.08
1,6,1.0,0.022222222222222223,0.013333333333333334,1.0,0.04
1,7,7.0,0.15555555555555556,0.09333333333333334,7.0,0.28
2,1,2.0,0.044444444444444446,0.02666666666666667,2.0,0.08
2,3,3.0,0.06666666666666667,0.04,3.0,0.12
2,4,1.0,0.022222222222222223,0.013333333333333334,1.0,0.04
2,5,4.0,0.08888888888888889,0.05333333333333334,4.0,0.16
2,6,1.0,0.022222222222222223,0.013333333333333334,1.0,0.04
2,7,6.0,0.13333333333333333,0.08,6.0,0.24
3,1,2.0,0.044444444444444446,0.02666666666666667,2.0,0.08
3,2,3.0,0.06666666666666667,0.04,3.0,0.12
3,4,3.0,0.06666666666666667,0.04,3.0,0.12
3,5,1.0,0.022222222222222223,0.013333333333333334,1.0,0.04
3,6,2.0,0.044444444444444446,0.02666666666666667,2.0,0.08
3,7,9.0,0.2,0.12,9.0,0.36
4,1,2.0,0.044444444444444446,0.02666666666666667,2.0,0.08
4,2,1.0,0.022222222222222223,0.013333333333333334,1.0,0.04
4,3,3.0,0.06666666666666667,0.04,3.0,0.12
4,5,2.0,0.044444444444444446,0.02666666666666667,2.0,0.08
4,6,1.0,0.022222222222222223,0.013333333333333334,1.0,0.04
4,7,24.0,0.5333333333333333,0.32,24.0,0.96
5,1,2.0,0.044444444444444446,0.02666666666666667,2.0,0.08
5,2,4.0,0.08888888888888889,0.05333333333333334,4.0,0.16
5,3,1.0,0.022222222222222223,0.013333333333333334,1.0,0.04
5,4,2.0,0.044444444444444446,0.02666666666666667,2.0,0.08
5,6,1.0,0.022222222222222223,0.013333333333333334,1.0,0.04
5,7,18.0,0.4,0.24,18.0,0.72
6,1,1.0,0.022222222222222223,0.013333333333333334,1.0,0.04
6,2,1.0,0.022222222222222223,0.013333333333333334,1.0,0.04
6,3,2.0,0.044444444444444446,0.02666666666666667,2.0,0.08
6,4,1.0,0.022222222222222223,0.013333333333333334,1.0,0.04
6,5,1.0,0.022222222222222223,0.013333333333333334,1.0,0.04
6,7,27.0,0.6,0.36,27.0,1.08
