18
4
4
22
1
2
1000
5
60
65
10
0.67
0.8
15
1
100

0	33.95	20.18	46.75	23.97	0.58	0.99	1.76	1.4	1.89	2.49	2.41	1.34	2.41	0.29	0.13	0.76	1.45	1.33


0	0.25	0.25	0.25	0.25	0.08	0.08	0.08	0.08	0.08	0.08	0.08	0.08	0.08	0.08	0.08	0.08	0.08	0.08

0	2.73	5.27	5.8	9.67	6.33	6.07	9.47	4.8	3.87	7.93	2.33	9.93	3.93	7.27	6.07	3.33	9.4	4.27

82.4	4.73	7.27	7.8	11.67	8.33	8.07	11.47	6.8	5.87	9.93	4.33	11.93	5.93	9.27	8.07	5.33	11.4	6.27

0	19	17	17	17	16	19	17	17	16	14	14	15	14	18	15	15	17	13
19	0	5	35	2	4	4	22	22	21	19	19	20	19	1	20	4	2	18
17	5	0	33	7	1	2	17	17	16	14	14	15	14	6	15	3	4	13
17	35	33	0	33	32	35	23	27	26	23	27	28	24	34	22	31	33	26
17	2	7	33	0	6	5	24	24	23	20	20	22	21	1	22	5	4	19
16	4	1	32	6	0	3	18	18	17	15	15	16	15	5	16	2	3	14
19	4	2	35	5	3	0	19	19	18	15	15	17	16	4	17	4	2	14
17	22	17	23	24	18	19	0	4	3	4	4	5	3	23	2	19	20	5
17	22	17	27	24	18	19	4	0	1	4	4	2	3	23	5	19	20	5
16	21	16	26	23	17	18	3	1	0	3	3	3	2	22	5	19	20	4
14	19	14	23	20	15	15	4	4	3	0	4	5	1	19	2	16	17	3
14	19	14	27	20	15	15	4	4	3	4	0	2	3	19	5	16	17	1
15	20	15	28	22	16	17	5	2	3	5	2	0	5	21	7	18	19	3
14	19	14	24	21	15	16	3	3	2	1	3	5	0	20	3	17	18	2
18	1	6	34	1	5	4	23	23	22	19	19	21	20	0	21	4	3	18
15	20	15	22	22	16	17	2	5	5	2	5	7	3	21	0	18	19	4
15	4	3	31	5	2	4	19	19	19	16	16	18	17	4	18	0	3	15
17	2	4	33	4	3	2	20	20	20	17	17	19	18	3	19	3	0	16
13	18	13	26	19	14	14	5	5	4	3	1	3	2	18	4	15	16	0










