40
20
20
60
1
2
1000
5
60
65
10
0.67
0.8
15
1
100

0	33.39	36.62	31.55	23.41	15.72	32.07	28.1	33.19	6.24	33.7	34.02	46.51	41.44	8.91	47.46	9.98	10.88	0.43	15.03	13.72	1.47	0.99	0.47	0.98	0.39	2.08	0.37	1.7	1.88	0.04	0.36	0.08	2.02	0.12	1.67	1.14	2.01	0.9	0.06	0.55

0	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.08	0.08	0.08	0.08	0.08	0.08	0.08	0.08	0.08	0.08	0.08	0.08	0.08	0.08	0.08	0.08	0.08	0.08	0.08	0.08

0	14.18	6.95	16.63	1.63	5	13.35	0.25	22.8	4.25	18.18	0.78	8.95	18.77	6.53	1.63	7.08	4.47	6.6	13.65	15.53	6.38	9.57	14.18	11.2	18.3	0.75	0.38	16.3	11.88	11.98	20.3	9.6	22.85	11.23	8.93	15.55	4.22	2.48	20.63	2.17

30.9	15.5	8.63	17.9	3.6	5.93	15.13	1.83	24.18	5.63	19.55	2.5	10.13	20.4	7.9	3.65	8.6	6.35	8.03	14.83	17.55	8.1	10.85	15.6	12.63	19.43	2.3	1.68	18.02	13.2	13.05	22.08	10.73	24.13	12.6	10.25	17.52	5.6	3.7	21.75	3.95


0	18	19	14	5	15	8	4	8	6	7	14	7	13	7	6	17	17	9	8	7	7	16	15	8	6	15	6	17	19	17	5	17	4	9	7	7	6	16	9	14
18	0	4	19	13	21	11	15	14	13	13	19	13	18	12	13	23	6	23	11	12	11	22	21	10	12	4	14	1	1	23	13	3	14	11	11	11	12	5	13	20
19	4	0	15	14	17	11	15	14	13	13	15	12	14	12	14	19	2	24	11	12	12	18	17	11	13	4	14	5	4	19	14	2	15	10	12	12	13	3	14	16
14	19	15	0	9	5	20	10	21	19	20	4	7	1	9	20	4	14	15	10	20	19	3	2	18	11	16	19	20	19	4	10	17	11	9	17	10	9	15	22	3
5	13	14	9	0	10	11	2	13	11	12	9	2	8	2	11	12	12	10	3	12	11	11	10	10	3	10	11	12	14	12	2	12	3	4	9	2	1	11	14	9
15	21	17	5	10	0	21	12	23	21	22	2	9	4	10	21	2	15	10	11	22	21	5	7	20	13	18	21	22	20	5	12	19	13	10	19	12	11	16	24	3
8	11	11	20	11	21	0	10	3	2	2	20	13	19	11	3	23	10	15	10	1	1	22	21	2	9	7	3	10	11	23	10	10	9	11	3	10	11	9	3	20
4	15	15	10	2	12	10	0	11	9	10	10	4	9	3	10	14	14	9	4	10	9	13	12	8	3	11	9	14	15	14	2	14	1	5	7	4	3	13	12	11
8	14	14	21	13	23	3	11	0	3	1	21	15	20	13	2	25	13	16	12	2	3	24	23	4	10	10	2	13	14	25	11	13	11	13	4	11	12	12	1	22
6	13	13	19	11	21	2	9	3	0	2	19	12	18	11	1	22	12	14	10	1	2	22	21	3	8	9	1	12	13	22	9	12	8	11	2	9	10	11	3	20
7	13	13	20	12	22	2	10	1	2	0	20	14	19	12	1	24	12	15	11	1	2	23	22	3	9	9	1	12	13	24	10	12	10	12	3	10	11	11	2	21
14	19	15	4	9	2	20	10	21	19	20	0	7	3	9	20	4	14	12	10	20	19	3	5	18	11	16	19	20	19	4	10	17	11	9	17	10	9	15	22	1
7	13	12	7	2	9	13	4	15	12	14	7	0	6	2	13	10	10	12	3	13	12	10	9	12	5	9	13	14	12	10	4	10	4	2	11	4	3	9	15	8
13	18	14	1	8	4	19	9	20	18	19	3	6	0	8	19	5	13	14	9	19	18	4	3	17	10	15	18	19	18	5	9	16	10	8	16	9	8	14	21	2
7	12	12	9	2	10	11	3	13	11	12	9	2	8	0	11	12	11	12	1	12	11	11	10	10	3	8	11	12	12	12	2	11	3	2	9	2	1	10	14	9
6	13	14	20	11	21	3	10	2	1	1	20	13	19	11	0	23	12	15	10	2	2	22	21	4	9	10	1	12	14	23	10	12	9	11	3	10	11	11	3	20
17	23	19	4	12	2	23	14	25	22	24	4	10	5	12	23	0	17	12	13	23	22	3	5	22	15	19	23	24	22	4	14	20	14	12	21	14	13	18	25	3
17	6	2	14	12	15	10	14	13	12	12	14	10	13	11	12	17	0	22	10	11	10	16	15	9	11	3	13	7	5	17	12	4	13	9	10	10	11	1	12	14
9	23	24	15	10	10	15	9	16	14	15	12	12	14	12	15	12	22	0	13	15	14	15	17	13	11	20	14	22	24	15	10	22	9	14	12	12	11	21	17	13
8	11	11	10	3	11	10	4	12	10	11	10	3	9	1	10	13	10	13	0	11	10	12	11	9	2	7	10	11	11	13	3	10	4	1	8	1	2	9	13	10
7	12	12	20	12	22	1	10	2	1	1	20	13	19	12	2	23	11	15	11	0	1	23	22	2	9	8	2	11	12	23	10	11	9	12	3	10	11	10	2	21
