case,solve_status,objective,operating_cost,route_penalty,time_window_penalty,used_trucks,error
6-25,integer optimal solution,2941.126665699238,84.46000000000001,2856.666665699238,0.0,1.0,
6-50,integer optimal solution,5621.959998999709,101.96,5519.999998999709,0.0,1.0,
6-75,integer optimal solution,83.98,83.98,0.0,0.0,1.0,
7-25,time limit exceeded,3188.217774801819,90.44,3097.777774801819,0.0,1.0,
7-50,"integer optimal, tolerance",84.7,84.7,0.0,0.0,1.0,
7-75,integer optimal solution,2952.646662698081,95.97999999999999,2856.666662698081,0.0,1.0,
8-25,time limit exceeded,3194.477777800729,96.69999999999999,3097.777777800729,0.0,1.0,
8-50,time limit exceeded,3024.477777800656,96.69999999999999,2927.777777800657,0.0,1.0,
8-75,integer optimal solution,2947.126663698066,90.46,2856.666663698066,0.0,1.0,
9-25,time limit exceeded,16913.85333333052,220.52,16693.33333333052,0.0,1.0,
9-50,time limit exceeded,4186.977777800511,99.2,4087.777777800511,0.0,1.0,
9-75,time limit exceeded,4184.077774801655,96.3,4087.777774801656,0.0,1.0,
10-25,integer optimal solution,207.16,207.16,0.0,0.0,1.0,
10-50,integer optimal solution,229.86,229.86,0.0,0.0,1.0,
10-75,time limit exceeded,9362.777774800754,105.0,9257.777774800754,0.0,1.0,
11-25,,,,,,,ValueError('cannot convert float NaN to integer')
11-50,time limit exceeded,293.28,293.28,0.0,0.0,1.0,
11-75,time limit exceeded,4545.913332301297,232.58,4313.333332301298,0.0,1.0,
