case,customer_id,mode,open_hr,close_hr,window_hr,service_hr,service_min,service_start_hr,service_start_readable,within_window,assignment_detail
6-25,1,truck,0.25,6.25,"[0.25, 6.25]",0.25,15.0,0.54222222222,0.54h (0h33m),yes,truck 2: visit 1
6-25,2,drone,11.13,17.13,"[11.13, 17.13]",0.25,15.0,11.13,11.13h (11h08m),yes,drone 1: 4 -> 5 -> 2 -> 6 -> 7 (truck 2->2)
6-25,3,truck,0.27,6.27,"[0.27, 6.27]",0.25,15.0,0.27,0.27h (0h16m),yes,truck 2: visit 3
6-25,4,truck,9.58,15.58,"[9.58, 15.58]",0.25,15.0,9.58,9.58h (9h35m),yes,truck 2: visit 4
6-25,5,drone,8.03,14.03,"[8.03, 14.03]",0.08,4.8,9.593333333331746,9.59h (9h36m),yes,drone 1: 4 -> 5 -> 2 -> 6 -> 7 (truck 2->2)
6-25,6,drone,12.67,18.67,"[12.67, 18.67]",0.08,4.8,12.67,12.67h (12h40m),yes,drone 1: 4 -> 5 -> 2 -> 6 -> 7 (truck 2->2)
6-50,1,robot,10.35,11.7,"[10.35, 11.70]",0.25,15.0,10.35,10.35h (10h21m),yes,robot 1: 2 -> 4 -> 1 -> 6 (truck 2->2)
6-50,2,truck,1.08,2.43,"[1.08, 2.43]",0.25,15.0,1.08,1.08h (1h05m),yes,truck 2: visit 2
6-50,3,truck,13.75,14.5,"[13.75, 14.50]",0.25,15.0,13.75,13.75h (13h45m),yes,truck 2: visit 3
6-50,4,robot,0.25,1.12,"[0.25, 1.12]",0.08,4.8,1.119999999998108,1.12h (1h07m),yes,robot 1: 2 -> 4 -> 1 -> 6 (truck 2->2)
6-50,5,drone,15.2,16.12,"[15.20, 16.12]",0.08,4.8,15.2,15.20h (15h12m),yes,drone 1: 6 -> 5 -> 7 (truck 2->2)
6-50,6,truck,12.12,14.5,"[12.12, 14.50]",0.08,4.8,12.12,12.12h (12h07m),yes,truck 2: visit 6
6-75,1,drone,3.71,5.71,"[3.71, 5.71]",0.25,15.0,4.31333333333,4.31h (4h19m),yes,drone 1: 2 -> 5 -> 4 -> 1 -> 6 (truck 1->1)
6-75,2,truck,0.09,2.09,"[0.09, 2.09]",0.25,15.0,0.1333333333,0.13h (0h08m),yes,truck 1: visit 2
6-75,3,truck,3.19,5.19,"[3.19, 5.19]",0.08,4.8,3.19,3.19h (3h11m),yes,truck 1: visit 3
6-75,4,drone,4.22,6.22,"[4.22, 6.22]",0.08,4.8,4.22,4.22h (4h13m),yes,drone 1: 2 -> 5 -> 4 -> 1 -> 6 (truck 1->1)
6-75,5,drone,0.08,2.08,"[0.08, 2.08]",0.08,4.8,0.1466666666304703,0.15h (0h09m),yes,drone 1: 2 -> 5 -> 4 -> 1 -> 6 (truck 1->1)
6-75,6,truck,2.68,4.68,"[2.68, 4.68]",0.08,4.8,4.59,4.59h (4h35m),yes,truck 1: visit 6
