"case","start_time","end_time","exit_code","log_file"
"6-25","2026-06-13T16:20:08","2026-06-13T16:25:27","0","results/final_5min/logs/tdrp_6_25_console.log"
"6-50","2026-06-13T16:25:27","2026-06-13T16:28:03","0","results/final_5min/logs/tdrp_6_50_console.log"
"6-75","2026-06-13T16:28:03","2026-06-13T16:28:32","0","results/final_5min/logs/tdrp_6_75_console.log"
"7-25","2026-06-13T16:28:32","2026-06-13T16:33:55","0","results/final_5min/logs/tdrp_7_25_console.log"
"7-50","2026-06-13T16:33:55","2026-06-13T16:39:11","0","results/final_5min/logs/tdrp_7_50_console.log"
"7-75","2026-06-13T16:39:11","2026-06-13T16:42:41","0","results/final_5min/logs/tdrp_7_75_console.log"
"8-25","2026-06-13T16:42:41","2026-06-13T16:48:19","0","results/final_5min/logs/tdrp_8_25_console.log"
"8-50","2026-06-13T16:48:19","2026-06-13T16:53:50","0","results/final_5min/logs/tdrp_8_50_console.log"
"8-75","2026-06-13T16:53:50","2026-06-13T16:59:01","0","results/final_5min/logs/tdrp_8_75_console.log"
"9-25","2026-06-13T16:59:01","2026-06-13T17:04:09","0","results/final_5min/logs/tdrp_9_25_console.log"
"9-50","2026-06-13T17:04:09","2026-06-13T17:09:46","0","results/final_5min/logs/tdrp_9_50_console.log"
"9-75","2026-06-13T17:09:46","2026-06-13T17:15:01","0","results/final_5min/logs/tdrp_9_75_console.log"
"10-25","2026-06-13T17:15:01","2026-06-13T17:20:15","0","results/final_5min/logs/tdrp_10_25_console.log"
"10-50","2026-06-13T17:20:15","2026-06-13T17:25:21","0","results/final_5min/logs/tdrp_10_50_console.log"
"10-75","2026-06-13T17:25:21","2026-06-13T17:30:36","0","results/final_5min/logs/tdrp_10_75_console.log"
"11-25","2026-06-13T17:30:36","2026-06-13T17:37:36","0","results/final_5min/logs/tdrp_11_25_console.log"
"11-50","2026-06-13T17:37:36","2026-06-13T17:42:52","0","results/final_5min/logs/tdrp_11_50_console.log"
"11-75","2026-06-13T17:42:52","2026-06-13T17:47:58","0","results/final_5min/logs/tdrp_11_75_console.log"
