case,status,objective,operating_cost,route_penalty,time_window_penalty,used_trucks
6-25,time limit exceeded,2952.106666699239,95.43999999999998,2856.666666699239,0,1
6-50,integer optimal solution,5621.959998999709,101.96,5519.999998999709,0,1
6-75,integer optimal solution,83.98,83.98,0.0,0,1
7-25,time limit exceeded,3188.677777800729,90.89999999999998,3097.777777800729,0,1
7-50,time limit exceeded,84.75999999999999,84.75999999999999,0.0,0,1
7-75,integer optimal solution,2952.646662698081,95.97999999999999,2856.666662698081,0,1
8-25,time limit exceeded,3194.477777800729,96.69999999999999,3097.777777800729,0,1
8-50,time limit exceeded,3024.477777800656,96.69999999999999,2927.777777800657,0,1
8-75,time limit exceeded,3021.237777800657,93.46,2927.777777800657,0,1
9-25,time limit exceeded,16914.84222222037,212.62,16702.22222222037,0,1
9-50,time limit exceeded,4187.377777800511,99.6,4087.777777800511,0,1
9-75,time limit exceeded,4184.077777800511,96.3,4087.777777800511,0,1
10-25,time limit exceeded,258.76,258.76,0.0,0,1
10-50,time limit exceeded,229.86,229.86,0.0,0,1
10-75,time limit exceeded,9363.177777800583,105.4,9257.777777800584,0,1
11-25,time limit exceeded,3208.977777800729,111.2,3097.777777800729,0,1
11-50,time limit exceeded,293.84,293.84,0.0,0,1
11-75,time limit exceeded,4546.233332301297,232.9,4313.333332301298,0,1
